dataset,algorithm,nmi
ds2c2sc13,ag,1.0
ds2c2sc13,birch,0.9999999999999999
ds2c2sc13,spectral,1.0
ds2c2sc13,meanshift,1.0
ds2c2sc13,optics,1.0
ds2c2sc13,db,1.0
square4,kmeans,0.6345864661654135
square4,ap,1.0
square4,ag,1.0
square4,birch,1.0
square4,spectral,1.0
square4,meanshift,1.0
square4,optics,1.0
square4,db,1.0
lsun,kmeans,0.4030075187969925
lsun,ap,0.9999999999999999
lsun,ag,1.0
lsun,birch,1.0
lsun,spectral,1.0
lsun,meanshift,1.0
lsun,optics,1.0
lsun,db,1.0
fourty,kmeans,1.0
fourty,ap,1.0
fourty,ag,1.0
fourty,birch,1.0
fourty,spectral,1.0
fourty,meanshift,1.0
fourty,optics,1.0
fourty,db,1.0
spherical_5_2,kmeans,0.37293233082706767
spherical_5_2,ap,0.9999999999999999
spherical_5_2,ag,1.0
spherical_5_2,birch,1.0
spherical_5_2,spectral,1.0
spherical_5_2,meanshift,1.0
spherical_5_2,optics,1.0
spherical_5_2,db,1.0
xor,kmeans,1.0
xor,ap,0.5272727272727272
xor,ag,1.0
xor,birch,1.0
xor,spectral,1.0
xor,meanshift,1.0
xor,optics,1.0
xor,db,1.0
2d-10c,kmeans,0.4015037593984962
2d-10c,ap,1.0
2d-10c,ag,1.0
2d-10c,birch,1.0
2d-10c,spectral,1.0
2d-10c,meanshift,1.0
2d-10c,optics,1.0
2d-10c,db,1.0
sizes5,kmeans,0.29473684210526313
sizes5,ap,0.6848484848484848
sizes5,ag,1.0
sizes5,birch,1.0
sizes5,spectral,1.0
sizes5,meanshift,1.0
sizes5,optics,1.0
sizes5,db,1.0
2d-20c-no0,kmeans,1.0
2d-20c-no0,ap,0.9999999999999999
2d-20c-no0,ag,1.0
2d-20c-no0,birch,1.0
2d-20c-no0,spectral,1.0
2d-20c-no0,meanshift,1.0
2d-20c-no0,optics,1.0
2d-20c-no0,db,1.0
ds850,kmeans,0.312781954887218
ds850,ap,0.9999999999999999
ds850,ag,1.0
ds850,birch,1.0
ds850,spectral,1.0
ds850,meanshift,1.0
ds850,optics,1.0
ds850,db,1.0
zoo,kmeans,1.0
zoo,ap,0.7
zoo,ag,1.0
zoo,birch,1.0
zoo,spectral,1.0
zoo,meanshift,1.0
zoo,optics,1.0
zoo,db,1.0
long1,kmeans,0.10977443609022557
long1,ap,0.9642857142857145
long1,ag,1.0
long1,birch,1.0
long1,spectral,1.0
long1,meanshift,1.0
long1,optics,1.0
long1,db,1.0
iris,kmeans,0.2902255639097744
iris,ap,0.8181818181818182
iris,ag,1.0
iris,birch,1.0
iris,spectral,1.0
iris,meanshift,1.0
iris,optics,1.0
iris,db,1.0
spherical_6_2,kmeans,0.30526315789473685
spherical_6_2,ap,1.0
spherical_6_2,ag,1.0
spherical_6_2,birch,1.0
spherical_6_2,spectral,1.0
spherical_6_2,meanshift,1.0
spherical_6_2,optics,1.0
spherical_6_2,db,1.0
2d-4c-no9,kmeans,0.40451127819548865
2d-4c-no9,ap,1.0
2d-4c-no9,ag,1.0
2d-4c-no9,birch,1.0
2d-4c-no9,spectral,1.0
2d-4c-no9,meanshift,1.0
2d-4c-no9,optics,1.0
2d-4c-no9,db,1.0
haberman,kmeans,1.0
haberman,ap,1.0
haberman,ag,1.0
haberman,birch,1.0
haberman,spectral,1.0
haberman,meanshift,1.0
haberman,optics,1.0
haberman,db,1.0
triangle1,kmeans,0.38646616541353385
triangle1,ap,1.0
triangle1,ag,1.0
triangle1,birch,1.0
triangle1,spectral,1.0
triangle1,meanshift,1.0
triangle1,optics,1.0
triangle1,db,1.0
jain,kmeans,0.3578947368421052
jain,ap,0.9999999999999999
jain,ag,1.0
jain,birch,1.0
jain,spectral,1.0
jain,meanshift,1.0
jain,optics,1.0
jain,db,1.0
disk-5000n,kmeans,0.58796992481203
disk-5000n,ap,1.0
disk-5000n,ag,1.0
disk-5000n,birch,1.0
disk-5000n,spectral,1.0
disk-5000n,meanshift,1.0
disk-5000n,optics,1.0
disk-5000n,db,1.0
disk-4600n,kmeans,0.43909774436090226
disk-4600n,ap,1.0
disk-4600n,ag,1.0
disk-4600n,birch,1.0
disk-4600n,spectral,1.0
disk-4600n,meanshift,1.0
disk-4600n,optics,1.0
disk-4600n,db,1.0
disk-1000n,kmeans,0.14586466165413534
disk-1000n,ap,0.9030303030303028
disk-1000n,ag,1.0
disk-1000n,birch,1.0
disk-1000n,spectral,1.0
disk-1000n,meanshift,1.0
disk-1000n,optics,1.0
disk-1000n,db,1.0
2d-3c-no123,kmeans,0.45112781954887216
2d-3c-no123,ap,0.9999999999999999
